                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.1181,                 1.0181,                  1.645,                0.88406,                0.76271,                0.88636,                0.61106,                  1.053,                 1.0024,                  1.727,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.0679,                0.97442,                  1.608,                   0.96,                0.81356,                0.88758,                0.64404,                 1.0474,                0.88469,                 1.7394,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.1228,                 1.0315,                 1.6518,                 0.8866,                0.78814,                0.86452,                0.58558,                 1.1373,                0.96061,                 1.9049,              0.0013169,              0.0013169,              0.0013169
                     72,                  1.075,                0.97672,                  1.587,                0.90018,                0.80508,                0.87998,                0.61624,                 1.0868,                 0.9104,                 1.7591,               0.001307,               0.001307,               0.001307
                     73,                 1.1089,                0.98518,                 1.6269,                0.89625,                0.76271,                0.88382,                 0.6375,                 1.0039,                0.88373,                 1.6902,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.0708,                0.97664,                 1.6046,                0.93878,                0.77975,                0.89673,                0.65277,                  1.023,                0.83238,                 1.6845,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.0618,                0.92826,                 1.5959,                0.94112,                0.79661,                0.88464,                0.65899,                 1.0031,                0.85789,                 1.6827,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.0833,                 0.9654,                 1.5925,                0.87683,                0.84746,                0.89793,                 0.6403,                 1.0387,                0.84601,                 1.7411,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.0776,                0.94569,                 1.5813,                0.87922,                0.83898,                0.89749,                0.66179,                0.99866,                0.87007,                 1.6696,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.0797,                0.96396,                 1.6005,                0.92162,                0.79715,                0.89714,                0.65461,                 1.0206,                 0.8238,                 1.7204,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.0431,                0.94689,                 1.5884,                0.89059,                0.83051,                0.90851,                0.67292,                0.97498,                0.84794,                 1.6331,              0.0012377,              0.0012377,              0.0012377
                     80,                  1.042,                0.95147,                 1.5842,                0.94932,                0.77119,                0.90013,                0.64784,                 1.0592,                0.91143,                 1.7433,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.0556,                0.91185,                  1.586,                0.96103,                0.72881,                0.87967,                0.64297,                 1.0841,                0.83797,                 1.7825,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.0562,                0.93244,                 1.5923,                0.80277,                0.81356,                0.85385,                0.59647,                 1.0471,                 1.0238,                 1.7457,               0.001208,               0.001208,               0.001208
                     83,                 1.0435,                0.93387,                 1.5877,                0.90477,                0.80516,                0.89593,                0.62226,                 1.0602,                0.80997,                 1.7779,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.0106,                0.89568,                 1.5519,                0.89317,                0.83051,                0.90872,                0.67707,                0.94704,                0.79402,                 1.5918,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.0031,                0.90097,                 1.5575,                0.93834,                0.77966,                0.88055,                 0.6508,                0.98098,                 0.8464,                 1.6654,              0.0011783,              0.0011783,              0.0011783
                     86,                0.98651,                0.88259,                 1.5343,                0.85832,                0.80508,                0.86391,                0.63483,                 1.0024,                0.88205,                 1.6593,              0.0011684,              0.0011684,              0.0011684
                     87,                0.99772,                 0.9141,                 1.5373,                0.91324,                0.80508,                0.88774,                0.66233,                0.94398,                0.80272,                 1.6448,              0.0011585,              0.0011585,              0.0011585
                     88,                0.98233,                0.90254,                 1.5376,                0.88376,                0.81356,                 0.8865,                0.65473,                0.96986,                 0.8393,                 1.6754,              0.0011486,              0.0011486,              0.0011486
                     89,                0.97872,                0.85919,                 1.5248,                0.91169,                 0.7874,                0.88962,                 0.6335,                 1.0156,                0.81854,                 1.7239,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.0289,                0.90521,                 1.5628,                0.93639,                0.74847,                0.88723,                0.66459,                  0.974,                0.76108,                 1.6854,              0.0011288,              0.0011288,              0.0011288
